,message,url
0," Join us via Zoom  Topic: The Money Hack: Financial Management with Onyeka Okonkwo Time: Oct 30, 2021, 04:00 PM Africa/Lagos  Join via Zoom Meeting https://lnkd.in/dN3P2jH4  Meeting ID: 839 3172 6156 Passcode: fmYz64",https://lnkd.in/dN3P2jH4
1, https://www.linkedin.com/in/onyeka-okonkwo  You can check her up,https://www.linkedin.com/in/onyeka-okonkwo
2, https://www.linkedin.com/posts/onyeka-okonkwo_moneyxonyeka-personalfinance-money-activity-6841406433259585536-WDhK   Wrote about Emergency Funds here,https://www.linkedin.com/posts/onyeka-okonkwo_moneyxonyeka-personalfinance-money-activity-6841406433259585536-WDhK
3," Have money trouble? Subscribe to my YouTube channel:  *Money x Onyeka*    for financial education content. I teach you to be the boss of your money: ✅Learn the foundations of personal finance. ✅Build your way to financial freedom. ✅Learn about asset classes, risk management and actionable plans to get value from your portfolio. See link below. ⬇️⬇️⬇️  https://youtube.com/c/ujuokonkwo",https://youtube.com/c/ujuokonkwo
4, For those that are interested in Stocks Ope mentioned Risevest which is a good one.   You can use my code to signup to save/invest in a dollar denominated asset🥰🥰  https://rise.capital/ My code : 6IFDLKNG  Protect your money as Onyeka mentioned 😂,https://rise.capital/
5, Open a bamboo account  https://app.investbamboo.com/invite/onyeka961582,https://app.investbamboo.com/invite/onyeka961582
